-1.56,-1.78
-1.56,-1.56
-1.56,-1.34
-1.56,-0.9
-1.56,-0.02
-1.56,0.2
-1.56,1.08
-1.56,1.52
-1.56,1.74
-1.34,-1.78
-1.34,-1.56
-1.34,-1.34
-1.34,-0.9
-1.34,-0.02
-1.34,0.2
-1.34,1.08
-1.34,1.52
-1.34,1.74
-1.12,-1.78
-1.12,-1.12
-1.12,-0.68
-1.12,-0.46
-1.12,-0.24
-1.12,0.42
-1.12,0.64
-1.12,0.86
-1.12,1.3
-0.9,-1.78
-0.9,-1.56
-0.9,-1.34
-0.9,-0.9
-0.9,-0.02
-0.9,0.2
-0.9,1.08
-0.9,1.52
-0.9,1.74
-0.68,-1.78
-0.68,-1.12
-0.68,-0.68
-0.68,-0.46
-0.68,-0.24
-0.68,0.42
-0.68,0.64
-0.68,0.86
-0.68,1.3
-0.46,-1.78
-0.46,-1.12
-0.46,-0.68
-0.46,-0.46
-0.46,-0.24
-0.46,0.42
-0.46,0.64
-0.46,0.86
-0.46,1.3
-0.24,-1.78
-0.24,-1.12
-0.24,-0.68
-0.24,-0.46
-0.24,-0.24
-0.24,0.42
-0.24,0.64
-0.24,0.86
-0.24,1.3
-0.02,-1.78
-0.02,-1.56
-0.02,-1.34
-0.02,-0.9
-0.02,-0.02
-0.02,0.2
-0.02,1.08
-0.02,1.52
-0.02,1.74
0.2,-1.78
0.2,-1.56
0.2,-1.34
0.2,-0.9
0.2,-0.02
0.2,0.2
0.2,1.08
0.2,1.52
0.2,1.74
0.42,-1.78
0.42,-1.12
0.42,-0.68
0.42,-0.46
0.42,-0.24
0.42,0.42
0.42,0.64
0.42,0.86
0.42,1.3
0.64,-1.78
0.64,-1.12
0.64,-0.68
0.64,-0.46
0.64,-0.24
0.64,0.42
0.64,0.64
0.64,0.86
0.64,1.3
0.86,-1.78
0.86,-1.12
0.86,-0.68
0.86,-0.46
0.86,-0.24
0.86,0.42
0.86,0.64
0.86,0.86
0.86,1.3
1.08,-1.78
1.08,-1.56
1.08,-1.34
1.08,-0.9
1.08,-0.02
1.08,0.2
1.08,1.08
1.08,1.52
1.08,1.74
1.3,-1.78
1.3,-1.12
1.3,-0.68
1.3,-0.46
1.3,-0.24
1.3,0.42
1.3,0.64
1.3,0.86
1.3,1.3
1.52,-1.78
1.52,-1.56
1.52,-1.34
1.52,-0.9
1.52,-0.02
1.52,0.2
1.52,1.08
1.52,1.52
1.52,1.74
1.74,-1.78
1.74,-1.56
1.74,-1.34
1.74,-0.9
1.74,-0.02
1.74,0.2
1.74,1.08
1.74,1.52
1.74,1.74
